query_no,latency,aqp_std,aqp_aggregate,true_std,true_aggregate,count,relative_confidence_interval_error
11,0.13084020499809412,7956934658.199722,103361372429.01831,118617850222.24522,4991501718000.0,4789,0.02216986426449338
11,0.13084020499809412,7932543238.4839325,102729595236.15874,121310147783.28246,5131394442300.0,4839,0.022094891714069885
11,0.13084020499809412,7959698957.821823,103433093889.89769,122096878337.84578,5147022547800.0,4806,0.022175379711287604
11,0.13084020499809412,7936623525.127472,102835146966.98868,121212940134.13641,5072929033800.0,4737,0.02232956854989879
11,0.13084020499809412,7911140104.500107,102176807697.27936,119053659664.80891,4948768005000.0,4673,0.02245862393387924
11,0.13084020499809412,7957961615.480667,103388014578.9885,123003183030.08696,5226621363000.0,4883,0.02201139386698793
11,0.13084020499809412,7922891429.87001,102480130215.61067,118316947601.90594,4944916922400.0,4724,0.02232475447099251
11,0.13084020499809412,7942433478.278,102985536040.16423,123223938827.95688,5242436997300.0,4895,0.021990060235163922
11,0.13084020499809412,7946269529.389481,103084891148.06522,123991964648.31004,5361743489400.0,5057,0.021643276174688194
11,0.13084020499809412,7972029642.181702,103753322696.9607,123409265261.70352,5229350530200.0,4856,0.022074870474423303
11,0.13084020499809412,7987767958.641983,104162763726.79437,124361964351.00807,5328035731800.0,4964,0.021841857346750704
11,0.13084020499809412,7963281737.937103,103526088178.46027,124143544906.16354,5272926701400.0,4879,0.02203335448174915
11,0.13084020499809412,7990543002.303238,104235041265.37726,119786892037.05138,5077412863800.0,4859,0.022018368809795456
11,0.13084020499809412,7967377883.057739,103632458283.08467,120513666205.85774,5096638245900.0,4837,0.02208245570761042
11,0.13084020499809412,7941795419.536819,102969014714.26115,119736180589.27165,5039084943300.0,4790,0.02218545359477962
11,0.13084020499809412,7988798907.406448,104189612441.23479,121560777274.70345,5146772745300.0,4848,0.022066639423901163
11,0.13084020499809412,7953592416.808945,103274688981.80882,121669895531.45747,5117800349100.0,4785,0.022219761490822186
11,0.13084020499809412,7973210417.348572,103784013367.23404,122889273089.77615,5227125748500.0,4893,0.021984560579091563
11,0.13084020499809412,7977061377.853973,103884138804.67876,121639642034.99289,5171328046500.0,4888,0.02197937930742312
11,0.13084020499809412,7967507065.9272,103635813832.66241,123550160624.77225,5286308178300.0,4951,0.021864531854821744
11,0.13084020499809412,7983236427.03064,104044791138.06628,121684375284.84068,5181168005100.0,4903,0.021945078550992776
11,0.13084020499809412,7958764139.313095,103408836675.27106,121857795264.55638,5159348386500.0,4848,0.022076243469673917
11,0.13084020499809412,7986009891.630768,104116986816.60599,120861844700.95679,5072094210300.0,4763,0.02225428592791255
11,0.13084020499809412,7962857953.6996155,103515086307.31816,123558833309.19547,5263666956900.0,4908,0.021961111199097463
11,0.13084020499809412,7937290046.60202,102852394140.93913,120827514063.13678,5129960386500.0,4875,0.02200606155041988
11,0.13084020499809412,7984266789.163223,104071609444.2088,122753055767.12534,5181150397800.0,4818,0.022151217425901166
11,0.13084020499809412,7949080331.433685,103157722208.14265,118444293690.44464,4910233690200.0,4648,0.02250304574699587
11,0.13084020499809412,7968687169.219894,103666469743.31831,123381258920.13345,5215768900200.0,4833,0.022127623742395495
11,0.13084020499809412,7972535938.478195,103766481780.76639,123756678494.88638,5280147955800.0,4923,0.021928200407570896
11,0.13084020499809412,7988754894.049149,104188466143.12686,123520026315.69324,5227574552400.0,4844,0.022100358447992526
11,0.13084020499809412,8004526329.332214,104599624376.57477,122775990146.72623,5178882519600.0,4812,0.022161434128507435
11,0.13084020499809412,7979988581.463928,103960278598.65195,123367011353.75587,5243693950800.0,4886,0.02200491177687592
11,0.13084020499809412,8007307212.699524,104672205048.55524,121637780939.44267,5121257397300.0,4794,0.02218800284997406
11,0.13084020499809412,7984093346.139694,104067094821.55664,120013824568.7043,5037569139900.0,4765,0.022238847370894543
11,0.13084020499809412,7958457049.865875,103400868757.54771,122408132020.47198,5186934227100.0,4856,0.022064994457158288
11,0.13084020499809412,8005559447.588211,104626585695.0439,120819336404.81888,5052184159200.0,4729,0.02232970402549507
11,0.13084020499809412,7970278871.170944,103707825028.89755,122030805318.82631,5196448071000.0,4904,0.021949709664991542
11,0.13084020499809412,7989938153.953171,104219285530.66614,121211054304.20692,5127738667800.0,4840,0.022080126052685528
11,0.13084020499809412,7993797218.158112,104319830896.13596,122388946864.38792,5194660346100.0,4872,0.022021680345686964
11,0.13084020499809412,6401926480.806793,60549015191.57097,94596343327.61713,3049902009900.0,2812,0.028917131291605676
11,0.13084020499809412,6420481912.572273,60787959357.3194,91574167521.81102,2906942789700.0,2726,0.029293210004324405
11,0.13084020499809412,6391625428.010475,60416404245.19273,94146412971.99084,3084667578000.0,2904,0.028448701626668564
11,0.13084020499809412,6423756729.056557,60830139536.88286,92257362650.54518,3010248006600.0,2880,0.028513798774485538
11,0.13084020499809412,6396447694.491356,60478480378.40384,91756909712.47745,2953610056500.0,2803,0.028900383051626465
11,0.13084020499809412,6366362815.620033,60091303816.88999,91699708350.52402,2956504570200.0,2812,0.028862916835988996
11,0.13084020499809412,6421698423.8637085,60803627898.58891,93369199071.0499,3016225779900.0,2823,0.02882658892003398
11,0.13084020499809412,6380226403.055954,60269691124.287125,92628840657.88654,3021847719900.0,2879,0.028541681199502917
11,0.13084020499809412,6403317592.027176,60566925845.5367,92104092672.50371,2950471910400.0,2776,0.02904646364481333
11,0.13084020499809412,6407855688.083199,60625357676.68499,90812848034.66884,2885419822800.0,2731,0.02925223971902964
